#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description,[Namechange,When,Description
#,UNIX AND UNIX-LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Micronix [Morrow],#FF8585,UNICS [AT&T/Bell Labs],1979,1983.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UCLA Secure Unix,#FF8585,UNICS [AT&T/Bell Labs],1979,1979.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UCLA Locus,#FF8585,UNICS [AT&T/Bell Labs],1980,1991.2,,,AIX PS/2,1989.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UniPlus System V [UniSoft],#FF8585,UNICS [AT&T/Bell Labs],1981,1983.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,V7M [DEC],#FF8585,UNICS [AT&T/Bell Labs],1980.12,1995.11,,,Ultrix-11,1982.6,,Ultrix,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,V7/x86,#FF8585,UNICS [AT&T/Bell Labs],1999,2007.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Munix [Generics],#FF8585,UNICS [AT&T/Bell Labs],1982,1991.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,Ultrix 32M [DEC],#FF8585,V7M [DEC],1984,1987.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,UNIX System III [AT&T],#8B0000,CB UNIX,1981,,,,UNIX System V,1983,,UnixWare,1992.11,,Open UNIX,2001.11,,SCO UnixWare,2002.12,,,,,,,,,,,,,,,,,,,,,,,,,
N,HP-UX [HP],#8B0000,UNIX System III [AT&T],1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,SPP-UX [Convex],#FF8585,HP-UX [HP],1994,1995.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
